"","Paper I.D.","First author","Paper name","Journal","Year","weblink","focal frugivore species","focal plant species","geographic location","country","location1","location2","location3","feeding trial? ","collect scat samples & germinate? ","notes"
"184","LaFleur, N. The Journal of the Torrey Botanical Society 2009","LaFleur, N.","Does frugivory by European starlings (Sturnus vulgaris) facilitate germination in invasive plants?1","The Journal of the Torrey Botanical Society",2009,"http://www.bioone.org/doi/abs/10.3159/08-RA-111.1","European starlings (Sturnus vulgaris)","Elaeagnus umbellata, Celastrus orbiculatus, Rosa multiflora","Northeast United States","United States","Mainland","New World","Mainland","yes","yes","Seeds that were cleaned by hand or regurgitated by birds had the same likelihood of germinating, and were significantly more likely to germinate than were seeds contained in intact fruit. Defecated C. orbiculatus seeds germinated significantly less well than hand-cleaned or regurgitated seeds, but better than those that were contained in intact fruits. We also found that C. orbiculatus seeds ingested by starlings required significantly less time to germinate than those contained in intact fruits. "
"185","Lessa, L Acta Botanica Brasicila 2013","Lessa, L","Effects of gut passage on the germination of seeds ingested by didelphid marsupials in a neotropical savanna","Acta Botanica Brasicila",2013,"http://www.scielo.br/scielo.php?pid=S0102-33062013000300009&script=sci_arttext&tlng=es","didelphid marsupials","Cipocereus minensis, Clidemia urceolata, Miconia holosericea, Myrcia sp., Psidium sp., Cordiera sessilis, Psychotria capitata, Phoradendron crassifolium","southeastern brazil","Brazil","Mainland","New World","Mainland","no","yes","Ingestion helped germination in some species, but did not hurt any."
"186","Shiels, A. Biol Invasions 2011","Shiels, A.","Frugivory by introduced black rats (Rattus rattus) promotes dispersal of invasive plant seeds","Biol Invasions",2011,"http://download.springer.com/static/pdf/22/art%253A10.1007%252Fs10530-010-9868-7.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs10530-010-9868-7&token2=exp=1456200083~acl=%2Fstatic%2Fpdf%2F22%2Fart%25253A10.1007%25252Fs10530-010-9868-7.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs10530-010-9868-7*~hmac=e6231ecce36d82531e0496bc443facf3b12fdc87371b401dae37583ac81288a7","Rattus rattus","Psidium cattleianum, Clidemia hirta, Schinus terebinthifoius, Hedychium gardnerianum, Miconia calvescens, Leucaena leucocephala, Schefflera actinophylla, Ardisia elliptica, Morella faya, Lantana camara, Spathodea campanulatat, Urochloa maxima, Prosopis pallida, Rubus rosifolius, Citharexylum caudatum, Ficus microcarpa, Passiflora suberosa, Buddleia asiatica, Syzygium cumini, Aleurites moluccana, Coffea arabica, Cinnamomum burmanii, BIschofia javanica, Casuarina equisetifolia, Setaria palmifolia","Oahu island, Hawaii","United States","Island","New World","Island","yes","yes","Ingestion of fruit helped some invasive species germinate, but inhibited other species germination."
"187","Roehm, K. The American Midland Naturalist 2013","Roehm, K. ","Is the Coyote (Canis latrans) a Potential Seed Disperser for the American Persimmon (Diospyros virginiana)?","The American Midland Naturalist",2013,"http://www.bioone.org/doi/abs/10.1674/0003-0031-169.2.416","Coyote (Canis latrans)","American Persimmon (Diospyros virginiana; Ebenaceae)","Arkansas","United States","Mainland","New World","Mainland","no","yes","Ingestion had no effect on germination compared to whole fruit"
"188","Schetini de Azevedo, C. EMU 2013","Schetini de Azevedo, C.","Effect of passage through the gut of Greater Rheas on the germination of seeds of plants of cerrado and caatinga grasslands","EMU",2013,"http://www.publish.csiro.au/?act=view_file&file_id=MU12070.pdf","Greater Rheas","Psidium guajava, Eugenia dysenterica, Hancornia speciosa, Annona crassiflora, Caryocar brasiliense, Hymenaea stignocarpa, Passiflora edulis, Solanum lycocarpum, Solanum palinacanthum, Spondias tuberosa, Spondias purpurea, Talisia esculenta","Brazil","Brazil","Mainland","New World","Mainland","no","yes","All three caatinga plant species germinated at a lower rate and took longer to germinate after passage through the gut, whereas two of nine cerrado plant species germinated at a higher rate and in less time after passage through the gut"
"189","Setlalekgomoa, M. Scientific Journal of Biological Sciences 2013","Setlalekgomoa, M.","Effects of gut passage by kudu (Tragelaphus strepsiceros) and pericarp on the germination percentage of morula (Sclerocarya birrea) seeds","Scientific Journal of Biological Sciences",2013,"https://www.researchgate.net/profile/Mpho_Setlalekgomo/publication/277140109_Effects_of_gut_passage_by_kudu_(Tragelaphus_strepsiceros)_and_pericarp_on_the_germination_percentage_of_morula_(Sclerocarya_birrea)_seeds/links/556d97bd08aeab7772235e86.pdf","kudu (Tragelaphus strepsiceros)","morula (Sclerocarya birrea)","Botswana","Botswana","Mainland","Old World","Mainland","no","yes","Ingestio increased germination"
"190","Lewis, D. Biotropica 1987","Lewis, D.","Fruiting patterns, seed germination, and distribution of Sclerocarya caffra in an elephant-inhabited woodland
","Biotropica",1987,"http://www.jstor.org/stable/2388459?seq=1#page_scan_tab_contents","Elephants","Sclerocarya caffra","Zambia","Zambia","Mainland","Old World","Mainland","yes","yes","Ingestion increased germination of seeds"
"191","Pegg, N. African Journal of Ecology 2014","Pegg, N.","Antelope ingestion enhances germination of the marula (Sclerocarya birrea), an important African savannah tree","African Journal of Ecology",2014,"http://onlinelibrary.wiley.com/doi/10.1111/aje.12152/full","Sylvicapra grimmia, Cephalophus natalensis, Philantomba monticola, Raphicerus sharpei, Raphicerus campestris ","marula (Sclerocarya birrea)","Bulawayo, Zimbabwe","Zimbabwe","Mainland","Old World","Mainland","yes","yes","Ingestion enhanced germination"
"192","Izhaki, I. Oecologia 1995","Izhaki, I.","The effect of bat (Rousettus aegyptiacus) dispersal on seed germination in eastern Mediterranean habitats","Oecologia",1995,"http://www.jstor.org/stable/4220893?seq=1#page_scan_tab_contents","bat (Rousettus aegyptiacus) ","Ceratonia siliqua,  Eriobotrya japonica, Ficus carica, Morus nigra, Arbutus andrachne, Ziziphus spina-christi ","Eastern Mediteranean","Isreal","Mainland","Old World","Mainland","yes","yes","Ingestion did not help germination"
"193","Traveset, A. Functional Ecology 2001","Traveset, A. ","Passage through bird guts causes interspecific differences in seed germination characteristics","Functional Ecology",2001,"http://onlinelibrary.wiley.com/doi/10.1046/j.0269-8463.2001.00561.x/full","Turdus merula, Sylvia melanocephala","Rubus ulmifolius (Rosaceae), Rubia peregrina (Rubiaceae), Asparagus acutifolius (Liliaceae), Osyris alba (Santalaceae), Phillyrea spp","Western Scrubland Mediterranean",NA,"Mainland","Old World","Mainland","yes","yes","Rate of seed germination, but not germinability, changed in all species after gut treatment. The greatest effect was in Osyris, in which germination was much enhanced. A great acceleration of germination, which is likely to translate into a seedling size advantage, was also found in Asparagus. In the other three species tested, germination was slower for ingested than for control seeds. For Rubus and Rubia seeds, we found a different germination response depending upon the frugivore species tested. A different degree of seed coat scarification caused by differences in gut retention time, chemical and/or mechanical abrasion probably account for such responses. In three of the species (Osyris, Rubia and Phillyrea), seed weight decreased after gut treatment. Such weight loss was not caused by any change in coat thickness, but may have been because of the scarification and consequent alteration of the seed coat structure."
"194","Orrock, J. Canadian Journal of Botany 2005","Orrock, J.","The effect of gut passage by two species of avian frugivore on seeds of pokeweed, Phytolacca americana","Canadian Journal of Botany",2005,"http://www.nrcresearchpress.com/doi/abs/10.1139/b05-016#.VtY00_krLIU","northern Mockingbirds (Mimus polyglottos), Brown Thrashers (Toxostoma rufum)","Phytolacca americana","North America","United States","Mainland","New World","Mainland","yes","yes","Ingestion increased germination"
"195","Campos-Arceiz, Ahimsa Ecology 2008","Campos-Arceiz, Ahimsa","Behavior rather than diet mediates seasonal differences in seed dispersal by Asian elephants","Ecology",2008,"http://onlinelibrary.wiley.com/doi/10.1890/07-1573.1/full","Asian elephants (Elephas maximus)","Tamarindus indica ","Southeast Asia (but experiment was done in Ueno Zoo, in Tokyo)","Sri Lanka and Myanmar","Mainland","Old World","Mainland","yes","yes","Germination probability was higher for the control, but the germination time was shorter for seeds that were ingested. Also diet composition had no effect on seed germination"
"196","Lorinda, A. Biological invasions 2011","Lorinda, A.","The role of avian frugivores in germination of seeds of fleshy-fruited invasive alien plants","Biological invasions",2011,"http://link.springer.com/article/10.1007/s10530-011-0013-z","Red-winged Starlings (Onychognathus morio, Sturnidae), Speckled Mousebirds (Colius striatus, Coliidae), Dark-capped Bulbuls (Pycnonotus tricolor, Pycnonotidae)","Solanum mauritianum, Cinnamomum camphora, Lantana camara, Psidium guajava","University of KwaZulu-Natal (UKZN), Pietermaritzburg","South Africa","Mainland","Old World","Mainland","yes","yes","Ingestion benefitted germination by removing pulp. Pulp removal resulted in significantly higher germination rates, both in the two species with larger, multi-seeded fruit (S. mauritianum and P. guajava), and in the two species having single-seeded fruit with waxy exocarps (C. camphora and L. camara). Pulp removal also resulted in significantly earlier germination of L. camara and P. guajava seeds. Therefore, frugivores not only accelerate dispersal, but also greatly enhance seed germination of all fleshy-fruited invasive alien species in this study."
"197","Rosenblatt, A. Southeastern Naturalist 2014","Rosenblatt, A.","Are Seeds Consumed by Crocodilians Viable? A Test of the Crocodilian Saurochory Hypothesis","Southeastern Naturalist",2014,"http://www.bioone.org/doi/abs/10.1656/058.013.0304","Alligator mississippiensis (American Alligator)","Annona glabra (Pond-apple Tree)","Florida Coastal Everglades","United States","Mainland","New World","Mainland","no","yes","Ingestion killed seeds and none germinated"
"198","Pereira, M. Botany 2011","Pereira, M.","Effects of bird ingestion on seed germination of Vaccinium cylindraceum(Ericaceae), an endemic species of the Azores archipelago","Botany",2011,"http://www.nrcresearchpress.com/doi/abs/10.1139/b11-071#.VuDaZPkrLIU"," Fringilla coelebs, Erithacus rubecula, Turdus merula","Vaccinium cylindraceum","Azores archipelago","Portugal","Island","Old World","Island","yes","yes","Nearly 92% and 70% of the seeds ingested by, respectively, Erithacus rubecula and Turdus merula passed intact through the birds’ digestive tracts, and the germination characteristics of these seeds were not significantly affected. Only 16% of the seeds ingested passed intact through the digestive tract of Fringilla coelebs, and the germination ability of these seeds was significantly reduced."
"199","Blattmann, T. PLOS one 2013","Blattmann, T.","Gastropod Seed Dispersal: An Invasive Slug Destroys Far More Seeds in Its Gut than Native Gastropods","PLOS one",2013,"http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0075243","Arion lusitanicus, Arion rufus, Cepaea nemoralis, Helix pomatia ","Agrostemma githago L., Brassica napus L., Camelina sativa (L.) Crantz, Melilotus albus Medik., Valerianella locusta (L.) Laterr.","Europe","Norway","Mainland","Old World","Mainland","yes","yes","Seed damage and germination rates did not differ after gut passage through different native species, but seed damage was significantly higher after gut passage through the invasive slug A. lusitanicus, and their germination rates were significantly reduced."
"200","Niederhauser, C. Plant Ecology 2015","Niederhauser, C.","All frugivores are not equal: exploitation competition determines seed survival and germination in a fleshy-fruited forest herb","Plant Ecology",2015,"http://link.springer.com/article/10.1007/s11258-015-0494-4","white-tailed deer (Odocoileus virginianus),  raccoon (Procyon lotor)","mayapple (Podophyllum peltatum)","Southeastern Ohio","United States","Mainland","New World","Mainland","yes","no","Ingestion by raccoons increased germination, while deer ingestion killed the seeds"
"201","Petre, C. Acta Oecologica 2015","Petre, C.","Western lowland gorilla seed dispersal: Are seeds adapted to long gut retention times?","Acta Oecologica",2015,"http://www.sciencedirect.com/science/article/pii/S1146609X15000697","western lowland gorilla (Gorilla g. gorilla)","Antrocaryon klaineanum Pierre, Pseudospondias longifolia Engl.,  Pseudospondias microcarpa (A. Rich.) Engl, Trichoscypha acuminata Engl., Myrianthus arboreus P. Beauv.","southeast Cameroon ","Cameroon","Mainland","Old World","Mainland","no","yes","Ingestion had different effects on different species"
"202","Rojas-Martinez, A. The Southwestern Naturalist 2015","Rojas-Martinez, A.","Effects of seed ingestion by the lesser long-nosed bat Leptonycteris yerbabuenae on the germination of the giant cactus Isolatocereus dumortieri","The Southwestern Naturalist",2015,"http://www.bioone.org/doi/abs/10.1894/TAL-69.1","lesser long-nosed bat (Leptonycteris yerbabuenae)","giant cactus (Isolatocereus dumortieri)","Biosphere Reserve Barranca of Metztitlán in Central México","Mexico","Mainland","New World","Mainland","no","yes","Ingestion diminished germination"
"203","Waibel, A. Journal of Plant Ecolgoy 2013","Waibel, A.","Does a giant tortoise taxon substitute enhance seed germination of exotic fleshy-fruited plants?","Journal of Plant Ecolgoy",2013,"http://jpe.oxfordjournals.org/content/early/2012/02/29/jpe.rts003.short","giant tortoises (Aldabrachelys gigantea)","Mimusops coriacea, Lantana camara, Veitchia merrillii, Wikstroemia indica","Mascarene archipelago ","Mauritius","Mainland","Old World","Mainland","yes","yes","Ingestion by A. gigantea increased the percentage of seeds germinating of Mimusops coriacea and Lantana camara, but not percentage of germination of Veitchia merrillii or Wikstroemia indica"
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Need to translate"
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
